id;Name;Sex;Typ;Partei;Herkunft;Alter;erster_Abschluss;zweiter_Abschluss;dritter_Abschluss;Uniabschluss;Praktiker;Fachrichtung;Historie_Bundesland;Typ_Einrichtung;Ranking;Zugehörigkeit;Land
77;University_of_Wisconsin;;1;;;;;;;;;;;3;1;1;2
78;Transatlantic_Fellow_German_Marshall_Fund;;1;;;;;;;;;;;4;1;2;2
79;DHBW;;1;;;;;;;;;;;1;2;1;1
80;MVV_Energie;;1;;;;;;;;;;;3;2;2;1
81;Kreissparkasse_Besigheim;;1;;;;;;;;;;;3;2;2;1
82;Hochschule_Pforzheim;;1;;;;;;;;;;;1;2;1;1
83;Landtag_BaWü;;1;;;;;;;;;;;3;1;1;1
84;Grundwehrdienst_Sigmaringen;;1;;;;;;;;;;;3;2;1;1
85;Universität_Konstanz;;1;;;;;;;;;;;2;2;1;1
86;Landgericht_Konstanz;;1;;;;;;;;;;;3;2;1;1
87;Staatsanwaltschaft_Konstanz;;1;;;;;;;;;;;3;1;1;1
88;Regierungspräsidium_Tübingen;;1;;;;;;;;;;;3;2;1;1
89;Mayer-Lay&Kollegen;;1;;;;;;;;;;;3;;2;1
90;Land_BaWü;;1;;;;;;;;;;;3;1;1;1
91;Landgericht_Ravensburg;;1;;;;;;;;;;;3;2;1;1
92;Oberlandesgericht_Stuttgart;;1;;;;;;;;;;;3;1;1;1
93;Amtsgericht_Tettnang;;1;;;;;;;;;;;3;2;1;1
94;Zentrum _für_Konfliktmanagement_der_Universität_Tübingen;;1;;;;;;;;;;;3;2;1;1
95;Luftwaffe_Meßstetten;;1;;;;;;;;;;;3;1;1;1
96;Berufsakademie_Ravensburg;;1;;;;;;;;;;;3;2;1;1
97;Izmir_Tuerkei;;1;;;;;;;;;;;3;2;1;2
98;Phoenix_Arizona,USA;;1;;;;;;;;;;;3;2;1;2
99;mittelständisches_Textilunternehmen;;1;;;;;;;;;;;3;2;2;1
100;KIT;;1;;;;;;;;;;;2;1;1;1
101;Leibniz_Universität_Hannover;;1;;;;;;;;;;;2;1;1;1
102;Goethe_Universität_Frankfurt_am_Main;;1;;;;;;;;;;;2;2;1;1
103;Steinbeis-Business-Academy_Stuttgart;;1;;;;;;;;;;;1;2;2;1
104;University-of-Bristol;;1;;;;;;;;;;;2;2;1;2
105;London-school-of-economics-and-political-science;;1;;;;;;;;;;;2;1;1;2
106;Sciences-Po-Paris;;1;;;;;;;;;;;1;1;1;2
107;Columbia-University_New-York;;1;;;;;;;;;;;2;1;1;2
108;Rechtsanwaelte-Warken-und-Kollegen;;1;;;;;;;;;;;3;2;2;1
109;Landgericht_Mannheim ;;1;;;;;;;;;;;3;2;1;1
110;Gemeinde_Sontheim_an_der_Brenz;;1;;;;;;;;;;;3;2;1;1
111;Landratsamt_Heidenheim;;1;;;;;;;;;;;3;2;1;1
112;FHöV_Hochschule_der_öffentlichen_Verwaltung;;1;;;;;;;;;;;1;2;1;1
113;katholisches_Jugendreferat_Ulm;;1;;;;;;;;;;;3;2;3;1
114;Gemeinde_Enzklösterle;;1;;;;;;;;;;;3;2;1;1
115;Universität_des_Saarlandes_Saarbrücken;;1;;;;;;;;;;;2;2;1;1
116;Newcastle_University_England;;1;;;;;;;;;;;2;2;1;2
117;EnBW_Karlsruhe;;1;;;;;;;;;;;3;2;2;1
118;Führungsakademie_BaWü;;1;;;;;;;;;;;3;2;1;1
119;Innocel-Innovations-Center_Lörrach_GmbH;;1;;;;;;;;;;;3;2;2;1
120;Zivildienst_Caritas_Werkstatt_Riegel;;1;;;;;;;;;;;3;2;2;1
121;Walter-Eucken-Institut_Freiburg;;1;;;;;;;;;;;3;2;2;1
122;Universität_Hamburg;;1;;;;;;;;;;;2;2;1;1
123;Finanzverwaltung_BaWü;;1;;;;;;;;;;;3;2;1;1
124;Finanzamt_Freiburg_im_Breisgau;;1;;;;;;;;;;;3;2;1;1
125;Landgericht_Offenburg;;1;;;;;;;;;;;3;2;1;1
126;Landgericht_Heilbronn;;1;;;;;;;;;;;3;2;1;1
127;T | H | S | B–Throm,Hauser,Strobl;;1;;;;;;;;;;;3;2;2;1
128;Fachhochschule_Heilbronn;;1;;;;;;;;;;;2;2;1;1
129;Stetten_Bau_GmbH;;1;;;;;;;;;;;3;2;2;1
130;Technologie_Holding_Christian_Stetten_GmbH;;1;;;;;;;;;;;3;2;2;1
131;Augsburger_Allgemeinen_Zeitung;;1;;;;;;;;;;;3;2;2;1
132;Institut_d'Etudes_Politiques;;1;;;;;;;;;;;2;1;1;2
133;Konrad-Adenauer-Haus;;1;;;;;;;;;;;3;2;2;1
134;Freie_Universität_Berlin;;1;;;;;;;;;;;2;1;1;1
135;Universität_der_Bundeswehr_München;;1;;;;;;;;;;;2;2;1;1
136;University_of _Texas;;1;;;;;;;;;;;2;1;1;2
137;Bundeswehr_Sonderhausen;;1;;;;;;;;;;;3;2;1;1
138;Bundeswehr_Duesseldorf;;1;;;;;;;;;;;3;2;1;1
139;Fuehrungsakademie_der_Bundeswehr_Hamburg;;1;;;;;;;;;;;2;1;1;1
140;Bundesministerium_der_Verteidigung;;1;;;;;;;;;;;3;1;1;1
141;Europaeischer_Rat;;1;;;;;;;;;;;3;1;1;2
142;NATO;;1;;;;;;;;;;;3;1;1;2
143;Raketenartellerielehrbattailon;;1;;;;;;;;;;;3;1;1;1
144;Fuehrungsstab_des_Heeres;;1;;;;;;;;;;;3;1;1;1
145;Panzerdivision;;1;;;;;;;;;;;3;1;1;1
146;Albert-Ludwigs-Universität_Freiburg;;1;;;;;;;;;;;2;2;1;1
147;Universitaet_Hohenheim;;1;;;;;;;;;;;2;2;1;1
148;FH_Ludwigsburg;;1;;;;;;;;;;;1;1;1;1
